# Columns: mx (MeV), f_eff
6.748829999999999529e+01,9.386802437451493564e-01
6.933185252525251485e+01,9.346589028707833480e-01
7.117540505050504862e+01,9.306459480907294246e-01
7.301895757575756818e+01,9.266383008896664775e-01
7.486251010101010195e+01,9.226309968524062377e-01
7.670606262626262151e+01,9.186260310047241751e-01
7.854961515151515528e+01,9.147253847219467549e-01
8.039316767676767483e+01,9.108471413558520968e-01
8.223672020202019439e+01,9.069718770329956437e-01
8.408027272727272816e+01,9.030957903727308000e-01
8.592382525252524772e+01,8.992286732745956579e-01
8.776737777777778149e+01,8.953642021936245587e-01
8.961093030303030105e+01,8.915067402855127998e-01
9.145448282828283482e+01,8.876450975395624443e-01
9.329803535353535437e+01,8.838079719971808634e-01
9.514158787878787393e+01,8.799627409158906621e-01
9.698514040404040770e+01,8.761439601947097477e-01
9.882869292929292726e+01,8.723128996549753822e-01
1.006722454545454468e+02,8.685016079549396917e-01
1.025157979797979806e+02,8.647077509483809266e-01
1.043593505050505144e+02,8.609056334970488500e-01
1.062029030303030339e+02,3.596962770828582290e-01
1.080464555555555535e+02,3.474335254967624853e-01
1.098900080808080872e+02,3.458960283955975767e-01
1.117335606060606068e+02,3.449529092551454901e-01
1.135771131313131264e+02,3.441711195871670070e-01
1.154206656565656601e+02,3.434573030104292046e-01
1.172642181818181939e+02,3.427459131349140375e-01
1.191077707070707135e+02,3.420705539193447109e-01
1.209513232323232330e+02,3.414016894038231498e-01
1.227948757575757668e+02,3.407369033312572237e-01
1.246384282828282863e+02,3.400930970062330805e-01
1.264819808080808059e+02,3.394632933624137650e-01
1.283255333333333397e+02,3.387904967447483706e-01
1.301690858585858734e+02,3.381222360306195829e-01
1.320126383838384072e+02,3.375368251612873016e-01
1.338561909090909126e+02,3.366852233610258538e-01
1.356997434343434463e+02,5.737880112741170491e-01
1.375432959595959801e+02,6.191339064007062021e-01
1.393868484848484854e+02,6.336270523494239582e-01
1.412304010101010192e+02,4.753099393982182508e-01
1.430739535353535530e+02,4.545996225305577454e-01
1.449175060606060583e+02,4.428750574129298734e-01
1.467610585858585921e+02,4.367295771778556546e-01
1.486046111111111259e+02,4.324752748691762516e-01
1.504481636363636312e+02,4.291787662501453937e-01
1.522917161616161650e+02,4.261857846890974577e-01
1.541352686868686988e+02,4.245657026002655487e-01
1.559788212121212041e+02,4.228227377169008205e-01
1.578223737373737663e+02,4.212636454913437078e-01
1.596659262626262716e+02,4.198437614095477111e-01
1.615094787878788054e+02,4.185787496299349097e-01
1.633530313131313392e+02,4.173234684345599188e-01
1.651965838383838445e+02,4.162837304115251102e-01
1.670401363636363783e+02,4.152354237872185605e-01
1.688836888888889121e+02,4.143063789102334749e-01
1.707272414141414174e+02,4.133265687262418497e-01
1.725707939393939512e+02,4.124466374770766053e-01
1.744143464646464849e+02,4.115869391729156668e-01
1.762578989898989903e+02,4.107397608354748098e-01
1.781014515151515241e+02,4.099637463813118332e-01
1.799450040404040578e+02,4.091659351477963669e-01
1.817885565656565632e+02,4.084278826723740097e-01
1.836321090909091254e+02,4.077005471435672934e-01
1.854756616161616307e+02,4.070254541080427502e-01
1.873192141414141361e+02,4.062898155564678704e-01
1.891627666666666983e+02,4.056052743045008846e-01
1.910063191919192036e+02,4.049264477461639311e-01
1.928498717171717374e+02,4.042501638338915071e-01
1.946934242424242711e+02,4.036040586663431906e-01
1.965369767676767765e+02,4.029509377583073704e-01
1.983805292929292818e+02,4.023046251572484078e-01
2.002240818181818440e+02,4.016251202273364296e-01
2.020676343434343494e+02,4.010512277238854617e-01
2.039111868686869116e+02,4.005957726510365191e-01
2.057547393939394169e+02,3.998580079513497365e-01
2.075982919191919223e+02,3.992618003880251676e-01
2.094418444444444845e+02,3.986703804934808026e-01
2.112853969696969898e+02,3.980865757847680264e-01
2.131289494949494951e+02,3.975118057564579477e-01
2.149725020202020573e+02,3.969208057781711818e-01
2.168160545454545627e+02,3.963830244642484457e-01
2.186596070707070680e+02,3.957850225240145958e-01
2.205031595959596302e+02,3.952206443388359691e-01
2.223467121212121356e+02,3.946814477689837286e-01
2.241902646464646409e+02,3.941273540765787842e-01
2.260338171717172031e+02,3.935774828235434897e-01
2.278773696969697085e+02,3.930259340865818185e-01
2.297209222222222706e+02,3.925233092820863967e-01
2.315644747474747760e+02,3.919444984303239732e-01
2.334080272727272813e+02,3.914160805009841981e-01
2.352515797979798435e+02,3.909048584053305131e-01
2.370951323232323489e+02,3.903530387696684811e-01
2.389386848484848542e+02,3.898415213112764732e-01
2.407822373737374164e+02,3.893116054108676227e-01
2.426257898989899218e+02,3.894045240880869008e-01
2.444693424242424271e+02,3.881650521996217185e-01
2.463128949494949893e+02,3.877806790946703441e-01
2.481564474747474947e+02,3.872328364636682396e-01
2.500000000000000000e+02,3.867036514426127614e-01
